DATA INICIAL;DATA FINAL;REGIÃO;ESTADO;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;MARGEM MÉDIA REVENDA;COEF DE VARIAÇÃO REVENDA;PREÇO MÉDIO DISTRIBUIÇÃO;DESVIO PADRÃO DISTRIBUIÇÃO;PREÇO MÍNIMO DISTRIBUIÇÃO;PREÇO MÁXIMO DISTRIBUIÇÃO;COEF DE VARIAÇÃO DISTRIBUIÇÃO;MÊS;ANO
2004-05-09;2004-05-15;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;306;R$/l;1,148;0,12;0,89;1,49;0,27;0,1;0,88;0,1;0,63;1,14;0,11;5;2004
2004-05-09;2004-05-15;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1238;R$/l;1,205;0,12;0,92;1,88;0,39;0,1;0,82;0,12;0,38;1,44;0,15;5;2004
2004-05-09;2004-05-15;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;952;R$/l;1,098;0,15;0,74;1,89;0,31;0,14;0,79;0,17;0,33;1,26;0,22;5;2004
2004-05-09;2004-05-15;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4047;R$/l;0,768;0,08;0,59;1,15;0,2;0,11;0,57;0,06;0,43;1,41;0,1;5;2004
2004-05-16;2004-05-22;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;307;R$/l;1,144;0,12;0,88;1,47;0,28;0,1;0,86;0,09;0,63;1,14;0,1;5;2004
2004-05-16;2004-05-22;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1235;R$/l;1,198;0,12;0,92;1,68;0,38;0,1;0,82;0,12;0,38;1,43;0,15;5;2004
2004-05-16;2004-05-22;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;948;R$/l;1,092;0,16;0,74;1,5;0,28;0,14;0,81;0,18;0,33;1,29;0,22;5;2004
2004-05-16;2004-05-22;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4066;R$/l;0,765999999999999;0,08;0,59;1,15;0,19;0,11;0,58;0,05;0,43;0,97;0,09;5;2004
2004-05-23;2004-05-29;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;305;R$/l;1,135;0,12;0,84;1,47;0,28;0,11;0,86;0,08;0,6;1,14;0,1;5;2004
2004-05-23;2004-05-29;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1260;R$/l;1,199;0,12;0,929;1,88;0,37;0,1;0,83;0,12;0,38;1,41;0,14;5;2004
2004-05-23;2004-05-29;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;973;R$/l;1,103;0,14;0,77;1,59;0,28;0,13;0,82;0,17;0,39;1,19;0,2;5;2004
2004-05-23;2004-05-29;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4077;R$/l;0,823;0,07;0,62;1,2;0,21;0,09;0,61;0,06;0,35;1,41;0,1;5;2004
2004-05-30;2004-06-05;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;304;R$/l;1,168;0,12;0,89;1,47;0,3;0,1;0,87;0,08;0,67;1,08;0,1;5;2004
2004-05-30;2004-06-05;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1248;R$/l;1,232;0,11;0,949;1,68;0,37;0,09;0,86;0,13;0,48;1,42;0,15;5;2004
2004-05-30;2004-06-05;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;955;R$/l;1,149;0,16;0,799;1,6;0,3;0,14;0,85;0,19;0,35;1,37;0,22;5;2004
2004-05-30;2004-06-05;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4073;R$/l;0,887;0,08;0,639;1,36;0,22;0,08;0,67;0,08;0,34;1,07;0,11;5;2004
2004-06-06;2004-06-12;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;309;R$/l;1,177;0,12;0,9;1,47;0,29;0,1;0,89;0,09;0,67;1,26;0,1;6;2004
2004-06-06;2004-06-12;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1263;R$/l;1,251;0,1;0,949;1,88;0,35;0,08;0,9;0,12;0,38;1,35;0,14;6;2004
2004-06-06;2004-06-12;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;966;R$/l;1,165;0,15;0,83;1,6;0,25;0,13;0,91;0,2;0,4;1,37;0,22;6;2004
2004-06-06;2004-06-12;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4082;R$/l;0,894;0,07;0,669;1,2;0,2;0,08;0,69;0,07;0,48;1,07;0,1;6;2004
2004-06-13;2004-06-19;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;313;R$/l;1,182;0,12;0,93;1,47;0,28;0,1;0,9;0,1;0,67;1,26;0,11;6;2004
2004-06-13;2004-06-19;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1250;R$/l;1,258;0,1;0,96;1,68;0,33;0,08;0,92;0,13;0,46;1,42;0,14;6;2004
2004-06-13;2004-06-19;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;952;R$/l;1,178;0,16;0,84;1,6;0,25;0,14;0,93;0,2;0,41;1,37;0,21;6;2004
2004-06-13;2004-06-19;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4069;R$/l;0,898;0,07;0,739;1,2;0,2;0,08;0,7;0,07;0,48;1,07;0,1;6;2004
2004-06-20;2004-06-26;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;313;R$/l;1,219;0,1;0,89;1,47;0,29;0,08;0,92;0,11;0,67;1,26;0,12;6;2004
2004-06-20;2004-06-26;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1259;R$/l;1,271;0,11;0,99;1,88;0,33;0,08;0,94;0,12;0,38;1,39;0,13;6;2004
2004-06-20;2004-06-26;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;967;R$/l;1,206;0,16;0,8;1,6;0,25;0,14;0,95;0,2;0,39;1,37;0,21;6;2004
2004-06-20;2004-06-26;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4077;R$/l;0,904;0,08;0,699;1,29;0,2;0,08;0,71;0,06;0,48;0,98;0,09;6;2004
2004-06-27;2004-07-03;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;311;R$/l;1,212;0,11;0,85;1,47;0,29;0,09;0,92;0,11;0,68;1,23;0,12;6;2004
2004-06-27;2004-07-03;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1242;R$/l;1,266;0,1;0,99;1,5;0,32;0,08;0,94;0,12;0,48;1,39;0,13;6;2004
2004-06-27;2004-07-03;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;963;R$/l;1,203;0,17;0,84;1,6;0,24;0,14;0,96;0,2;0,41;1,37;0,21;6;2004
2004-06-27;2004-07-03;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4058;R$/l;0,899;0,08;0,729;1,3;0,19;0,08;0,7;0,06;0,47;0,98;0,09;6;2004
2004-07-04;2004-07-10;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;312;R$/l;1,209;0,11;0,85;1,47;0,26;0,09;0,95;0,1;0,72;1,23;0,11;7;2004
2004-07-04;2004-07-10;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1260;R$/l;1,266;0,1;0,99;1,88;0,32;0,08;0,94;0,12;0,38;1,39;0,12;7;2004
2004-07-04;2004-07-10;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;976;R$/l;1,207;0,16;0,84;1,56;0,22;0,13;0,99;0,19;0,46;1,37;0,19;7;2004
2004-07-04;2004-07-10;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4075;R$/l;0,902;0,07;0,739;1,2;0,19;0,08;0,71;0,06;0,48;1,09;0,08;7;2004
2004-07-11;2004-07-17;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;311;R$/l;1,204;0,11;0,9;1,47;0,25;0,09;0,96;0,1;0,72;1,23;0,1;7;2004
2004-07-11;2004-07-17;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1245;R$/l;1,268;0,1;0,99;1,68;0,33;0,08;0,94;0,12;0,42;1,42;0,13;7;2004
2004-07-11;2004-07-17;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;963;R$/l;1,207;0,16;0,84;1,56;0,21;0,14;0,99;0,18;0,38;1,37;0,18;7;2004
2004-07-11;2004-07-17;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4079;R$/l;0,907;0,07;0,699;1,3;0,19;0,08;0,72;0,05;0,48;0,97;0,08;7;2004
2004-07-18;2004-07-24;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;307;R$/l;1,197;0,11;0,879;1,47;0,23;0,09;0,97;0,09;0,77;1,2;0,1;7;2004
2004-07-18;2004-07-24;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1260;R$/l;1,269;0,1;0,997;1,88;0,32;0,08;0,95;0,11;0,59;1,42;0,12;7;2004
2004-07-18;2004-07-24;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;974;R$/l;1,224;0,15;0,84;1,8;0,22;0,12;1,0;0,18;0,52;1,3;0,18;7;2004
2004-07-18;2004-07-24;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4069;R$/l;0,927;0,06;0,699;1,2;0,2;0,07;0,73;0,06;0,48;1,08;0,08;7;2004
2004-07-25;2004-07-31;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;308;R$/l;1,201;0,1;0,9;1,47;0,22;0,08;0,98;0,09;0,78;1,17;0,09;7;2004
2004-07-25;2004-07-31;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1245;R$/l;1,285;0,09;0,99;1,68;0,32;0,07;0,97;0,12;0,59;1,48;0,12;7;2004
2004-07-25;2004-07-31;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;955;R$/l;1,258;0,14;0,92;1,8;0,23;0,11;1,03;0,18;0,38;1,4;0,18;7;2004
2004-07-25;2004-07-31;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4089;R$/l;0,973;0,06;0,789;1,3;0,2;0,06;0,78;0,06;0,48;1,01;0,08;7;2004
2004-08-01;2004-08-07;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;307;R$/l;1,221;0,1;0,95;1,47;0,22;0,08;1,0;0,09;0,7;1,18;0,09;8;2004
2004-08-01;2004-08-07;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1262;R$/l;1,337;0,1;1,024;1,88;0,33;0,08;1,01;0,12;0,65;1,48;0,12;8;2004
2004-08-01;2004-08-07;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;965;R$/l;1,305;0,14;0,98;1,8;0,22;0,11;1,08;0,17;0,58;1,48;0,16;8;2004
2004-08-01;2004-08-07;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4071;R$/l;1,004;0,07;0,69;1,29;0,2;0,07;0,8;0,06;0,48;0,99;0,08;8;2004
2004-08-08;2004-08-14;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;309;R$/l;1,238;0,08;1,0;1,4;0,21;0,07;1,03;0,09;0,7;1,21;0,08;8;2004
2004-08-08;2004-08-14;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1238;R$/l;1,376;0,09;1,08;1,68;0,32;0,07;1,05;0,13;0,66;1,48;0,12;8;2004
2004-08-08;2004-08-14;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;962;R$/l;1,341;0,15;1,02;1,8;0,22;0,11;1,12;0,18;0,38;1,48;0,16;8;2004
2004-08-08;2004-08-14;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4100;R$/l;1,025;0,08;0,829;1,4;0,2;0,07;0,83;0,06;0,48;1,12;0,08;8;2004
2004-08-15;2004-08-21;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;307;R$/l;1,246;0,09;1,039;1,48;0,2;0,07;1,05;0,09;0,76;1,22;0,08;8;2004
2004-08-15;2004-08-21;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1262;R$/l;1,388;0,09;1,08;1,88;0,31;0,06;1,08;0,13;0,66;1,46;0,12;8;2004
2004-08-15;2004-08-21;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;969;R$/l;1,359;0,14;1,029;1,8;0,2;0,11;1,15;0,17;0,54;1,5;0,15;8;2004
2004-08-15;2004-08-21;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4075;R$/l;1,034;0,08;0,829;1,37;0,19;0,07;0,84;0,06;0,48;1,06;0,08;8;2004
2004-08-22;2004-08-28;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;307;R$/l;1,25;0,09;1,039;1,48;0,19;0,07;1,06;0,08;0,8;1,26;0,08;8;2004
2004-08-22;2004-08-28;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1244;R$/l;1,387;0,09;1,089;1,68;0,29;0,06;1,09;0,13;0,66;1,48;0,12;8;2004
2004-08-22;2004-08-28;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;967;R$/l;1,359;0,15;0,89;1,8;0,2;0,11;1,16;0,18;0,6;1,52;0,16;8;2004
2004-08-22;2004-08-28;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4101;R$/l;1,032;0,08;0,839;1,4;0,19;0,08;0,84;0,07;0,48;1,06;0,08;8;2004
2004-08-29;2004-09-04;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;306;R$/l;1,253;0,08;1,04;1,48;0,17;0,07;1,08;0,08;0,8;1,26;0,08;8;2004
2004-08-29;2004-09-04;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1263;R$/l;1,389;0,09;1,1;1,88;0,29;0,06;1,1;0,13;0,66;1,44;0,12;8;2004
2004-08-29;2004-09-04;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;972;R$/l;1,357;0,15;1,029;1,8;0,21;0,11;1,14;0,18;0,65;1,52;0,15;8;2004
2004-08-29;2004-09-04;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4074;R$/l;1,032;0,08;0,829;1,49;0,19;0,08;0,84;0,07;0,48;1,05;0,08;8;2004
2004-09-05;2004-09-11;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;305;R$/l;1,259;0,07;1,05;1,48;0,18;0,06;1,08;0,08;0,8;1,26;0,08;9;2004
2004-09-05;2004-09-11;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1242;R$/l;1,39;0,09;1,12;1,68;0,3;0,06;1,09;0,13;0,72;1,42;0,12;9;2004
2004-09-05;2004-09-11;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;967;R$/l;1,355;0,15;1,019;1,8;0,22;0,11;1,14;0,17;0,48;1,52;0,15;9;2004
2004-09-05;2004-09-11;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4095;R$/l;1,031;0,08;0,829;1,56;0,19;0,08;0,84;0,07;0,48;1,09;0,08;9;2004
2004-09-12;2004-09-18;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;305;R$/l;1,267;0,08;1,07;1,48;0,17;0,06;1,09;0,08;0,85;1,26;0,07;9;2004
2004-09-12;2004-09-18;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1267;R$/l;1,393;0,09;1,11;1,88;0,29;0,06;1,1;0,13;0,61;1,45;0,12;9;2004
2004-09-12;2004-09-18;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;974;R$/l;1,355;0,14;1,04;1,8;0,21;0,11;1,14;0,14;0,6;1,52;0,13;9;2004
2004-09-12;2004-09-18;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4085;R$/l;1,033;0,08;0,839;1,32;0,18;0,08;0,85;0,07;0,48;1,09;0,08;9;2004
2004-09-19;2004-09-25;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;305;R$/l;1,268;0,08;1,07;1,48;0,18;0,06;1,09;0,08;0,85;1,26;0,08;9;2004
2004-09-19;2004-09-25;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1234;R$/l;1,392;0,09;1,12;1,68;0,3;0,06;1,09;0,13;0,72;1,45;0,12;9;2004
2004-09-19;2004-09-25;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;972;R$/l;1,352;0,15;1,04;1,8;0,22;0,11;1,13;0,15;0,48;1,43;0,13;9;2004
2004-09-19;2004-09-25;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4102;R$/l;1,034;0,08;0,82;1,4;0,19;0,07;0,85;0,06;0,48;1,07;0,08;9;2004
2004-09-26;2004-10-02;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;304;R$/l;1,27;0,08;1,08;1,48;0,18;0,06;1,09;0,08;0,85;1,26;0,07;9;2004
2004-09-26;2004-10-02;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1262;R$/l;1,394;0,09;1,12;1,88;0,3;0,06;1,1;0,12;0,74;1,46;0,11;9;2004
2004-09-26;2004-10-02;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;978;R$/l;1,355;0,14;1,04;1,8;0,22;0,1;1,14;0,14;0,74;1,45;0,12;9;2004
2004-09-26;2004-10-02;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4080;R$/l;1,042;0,07;0,81;1,32;0,18;0,07;0,86;0,06;0,48;1,16;0,07;9;2004
2004-10-03;2004-10-09;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;303;R$/l;1,285;0,08;1,089;1,48;0,18;0,06;1,1;0,08;0,9;1,24;0,07;10;2004
2004-10-03;2004-10-09;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1234;R$/l;1,406;0,09;1,11;1,68;0,3;0,06;1,11;0,13;0,74;1,68;0,12;10;2004
2004-10-03;2004-10-09;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;962;R$/l;1,36;0,14;1,04;1,8;0,22;0,1;1,14;0,15;0,48;1,53;0,13;10;2004
2004-10-03;2004-10-09;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4111;R$/l;1,076;0,07;0,869;1,4;0,19;0,07;0,89;0,06;0,48;1,11;0,07;10;2004
2004-10-10;2004-10-16;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;301;R$/l;1,322;0,08;1,12;1,6;0,19;0,06;1,13;0,08;0,93;1,37;0,07;10;2004
2004-10-10;2004-10-16;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1254;R$/l;1,433;0,09;1,11;1,88;0,3;0,06;1,13;0,13;0,74;1,68;0,11;10;2004
2004-10-10;2004-10-16;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;972;R$/l;1,386;0,13;1,07;1,8;0,21;0,09;1,18;0,15;0,48;1,47;0,13;10;2004
2004-10-10;2004-10-16;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4067;R$/l;1,124;0,07;0,899;1,5;0,2;0,06;0,92;0,06;0,48;1,12;0,06;10;2004
2004-10-17;2004-10-23;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;300;R$/l;1,366;0,09;1,16;1,6;0,22;0,07;1,14;0,08;0,88;1,37;0,07;10;2004
2004-10-17;2004-10-23;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1223;R$/l;1,473;0,08;1,19;1,69;0,32;0,06;1,16;0,12;0,83;1,68;0,1;10;2004
2004-10-17;2004-10-23;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;957;R$/l;1,426;0,12;1,12;1,8;0,23;0,08;1,2;0,15;0,58;1,47;0,13;10;2004
2004-10-17;2004-10-23;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4102;R$/l;1,163;0,07;0,94;1,59;0,22;0,06;0,95;0,06;0,48;1,27;0,06;10;2004
2004-10-24;2004-10-30;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;299;R$/l;1,377;0,09;1,149;1,59;0,21;0,06;1,17;0,08;0,95;1,36;0,07;10;2004
2004-10-24;2004-10-30;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1248;R$/l;1,481;0,08;1,19;1,88;0,31;0,06;1,17;0,12;0,74;1,48;0,1;10;2004
2004-10-24;2004-10-30;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;977;R$/l;1,438;0,11;1,159;1,8;0,21;0,07;1,23;0,12;0,58;1,5;0,1;10;2004
2004-10-24;2004-10-30;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4065;R$/l;1,18;0,06;0,94;1,5;0,21;0,06;0,97;0,06;0,48;1,15;0,06;10;2004
2004-10-31;2004-11-06;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;298;R$/l;1,356;0,08;1,122;1,69;0,18;0,06;1,18;0,08;0,95;1,45;0,07;10;2004
2004-10-31;2004-11-06;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1227;R$/l;1,466;0,09;1,25;1,87;0,27;0,06;1,2;0,12;0,84;1,54;0,1;10;2004
2004-10-31;2004-11-06;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;963;R$/l;1,463;0,13;1,09;1,9;0,22;0,09;1,24;0,13;0,69;1,61;0,1;10;2004
2004-10-31;2004-11-06;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4098;R$/l;1,192;0,07;0,99;1,59;0,19;0,06;1,0;0,06;0,48;1,25;0,06;10;2004
2004-11-07;2004-11-13;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;298;R$/l;1,421;0,13;1,19;1,75;0,2;0,09;1,22;0,12;0,95;1,58;0,09;11;2004
2004-11-07;2004-11-13;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1246;R$/l;1,543;0,1;1,26;1,93;0,29;0,06;1,25;0,13;0,85;1,62;0,1;11;2004
2004-11-07;2004-11-13;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;964;R$/l;1,538;0,14;1,21;1,9;0,22;0,09;1,32;0,14;0,47;1,69;0,11;11;2004
2004-11-07;2004-11-13;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4048;R$/l;1,247;0,08;0,999;1,58;0,22;0,06;1,03;0,07;0,47;1,29;0,07;11;2004
2004-11-14;2004-11-20;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;299;R$/l;1,458;0,11;1,19;1,7;0,2;0,08;1,26;0,12;0,98;1,49;0,1;11;2004
2004-11-14;2004-11-20;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1225;R$/l;1,559;0,09;1,26;1,89;0,27;0,06;1,29;0,13;0,85;1,62;0,1;11;2004
2004-11-14;2004-11-20;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;951;R$/l;1,603;0,1;1,289;1,9;0,23;0,06;1,37;0,12;0,69;1,6;0,09;11;2004
2004-11-14;2004-11-20;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4083;R$/l;1,271;0,08;1,049;1,7;0,21;0,06;1,06;0,07;0,47;1,34;0,06;11;2004
2004-11-21;2004-11-27;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;298;R$/l;1,483;0,1;1,28;1,7;0,18;0,06;1,3;0,11;0,98;1,49;0,09;11;2004
2004-11-21;2004-11-27;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1247;R$/l;1,585;0,09;1,32;1,96;0,26;0,05;1,33;0,13;0,85;1,68;0,1;11;2004
2004-11-21;2004-11-27;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;986;R$/l;1,628;0,09;1,29;1,9;0,22;0,06;1,4;0,12;0,9;1,69;0,09;11;2004
2004-11-21;2004-11-27;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4028;R$/l;1,277;0,08;0,999;1,8;0,21;0,06;1,07;0,07;0,47;1,33;0,07;11;2004
2004-11-28;2004-12-04;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;298;R$/l;1,5;0,1;1,339;1,77;0,18;0,06;1,32;0,1;0,98;1,52;0,08;11;2004
2004-11-28;2004-12-04;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1223;R$/l;1,61;0,08;1,34;1,85;0,28;0,05;1,33;0,13;0,73;1,68;0,1;11;2004
2004-11-28;2004-12-04;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;969;R$/l;1,636;0,09;1,389;1,95;0,23;0,06;1,41;0,13;0,95;1,68;0,09;11;2004
2004-11-28;2004-12-04;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4083;R$/l;1,276;0,09;1,09;1,85;0,2;0,07;1,07;0,07;0,47;1,38;0,07;11;2004
2004-12-05;2004-12-11;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;297;R$/l;1,505;0,1;1,28;1,77;0,17;0,06;1,33;0,1;0,98;1,56;0,08;12;2004
2004-12-05;2004-12-11;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1242;R$/l;1,6;0,09;1,19;1,96;0,25;0,05;1,35;0,14;0,96;1,69;0,1;12;2004
2004-12-05;2004-12-11;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;988;R$/l;1,639;0,09;1,38;1,9;0,23;0,06;1,41;0,12;0,95;1,66;0,08;12;2004
2004-12-05;2004-12-11;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4039;R$/l;1,271;0,09;1,069;1,7;0,21;0,07;1,06;0,09;0,47;1,32;0,08;12;2004
2004-12-12;2004-12-18;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;297;R$/l;1,507;0,09;1,339;1,75;0,17;0,06;1,34;0,1;0,98;1,52;0,08;12;2004
2004-12-12;2004-12-18;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1214;R$/l;1,597;0,09;1,32;1,93;0,26;0,05;1,34;0,14;0,67;1,75;0,1;12;2004
2004-12-12;2004-12-18;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;984;R$/l;1,629;0,1;1,379;1,9;0,23;0,06;1,4;0,12;0,95;1,68;0,09;12;2004
2004-12-12;2004-12-18;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4094;R$/l;1,262;0,09;1,059;1,85;0,22;0,07;1,04;0,09;0,47;1,36;0,09;12;2004
2004-12-19;2004-12-25;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;291;R$/l;1,522;0,09;1,36;1,8;0,17;0,06;1,35;0,1;0,98;1,52;0,07;12;2004
2004-12-19;2004-12-25;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1239;R$/l;1,611;0,08;1,3;1,96;0,29;0,05;1,32;0,14;0,97;1,75;0,1;12;2004
2004-12-19;2004-12-25;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;998;R$/l;1,632;0,1;1,36;1,9;0,24;0,06;1,39;0,11;0,95;1,66;0,08;12;2004
2004-12-19;2004-12-25;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4030;R$/l;1,26;0,09;1,05;1,6;0,23;0,07;1,03;0,09;0,47;1,36;0,09;12;2004
2004-12-26;2005-01-01;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;297;R$/l;1,529;0,09;1,37;1,8;0,16;0,06;1,37;0,09;0,98;1,56;0,06;12;2004
2004-12-26;2005-01-01;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1211;R$/l;1,613;0,08;1,34;1,93;0,31;0,05;1,31;0,14;0,94;1,59;0,1;12;2004
2004-12-26;2005-01-01;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;984;R$/l;1,624;0,1;1,35;1,9;0,24;0,06;1,38;0,1;1,06;1,66;0,08;12;2004
